cgpa,iq,profile_score,placed
5.97,106,61.0,0
6.83,113,77.0,1
6.6,110,61.0,1
5.54,113,68.0,0
6.84,102,67.0,1
7.15,98,63.0,0
7.4,100,71.0,1
7.97,86,100.0,0
6.64,111,56.0,0
7.82,99,58.0,0
7.64,102,51.0,0
5.64,106,36.0,0
6.83,103,29.0,0
7.74,96,72.0,1
8.03,92,54.0,0
7.88,91,59.0,0
6.6,111,51.0,0
8.83,93,45.0,0
7.05,97,62.0,0
7.37,99,77.0,1
5.78,112,46.0,0
5.41,115,54.0,0
7.36,105,77.0,1
7.76,96,62.0,0
5.51,112,51.0,0
7.19,97,47.0,0
7.73,90,68.0,1
6.66,106,61.0,1
6.74,107,66.0,1
7.21,96,94.0,1
5.99,113,59.0,0
6.27,106,80.0,0
6.57,110,61.0,1
7.4,105,44.0,0
7.55,92,63.0,0
5.5,112,54.0,0
7.93,94,53.0,0
6.89,103,37.0,0
6.79,92,73.0,0
6.57,108,71.0,1
6.76,101,64.0,1
6.05,106,94.0,0
6.01,115,61.0,0
6.34,105,62.0,0
6.04,111,71.0,0
6.84,95,51.0,0
7.32,97,54.0,0
8.09,97,80.0,1
7.6,98,58.0,0
7.65,94,87.0,1
7.05,102,45.0,0
6.75,106,69.0,1
6.56,104,77.0,1
8.43,88,42.0,0
7.19,98,65.0,1
8.48,91,51.0,0
5.31,116,51.0,0
6.46,109,61.0,0
7.7,103,56.0,0
6.45,107,63.0,0
6.85,104,49.0,0
6.24,111,69.0,0
7.1,97,86.0,1
7.24,95,43.0,0
7.5,102,59.0,0
8.41,100,58.0,0
6.42,115,59.0,0
5.56,107,95.0,0
5.23,111,75.0,0
8.12,92,37.0,0
6.02,121,27.0,0
7.05,96,49.0,0
6.15,85,63.0,0
5.52,107,78.0,0
7.49,88,47.0,0
5.76,108,64.0,0
6.99,94,73.0,0
7.11,97,49.0,0
6.83,111,63.0,1
8.41,93,78.0,1
5.29,103,83.0,0
5.61,110,67.0,0
6.06,116,53.0,0
6.11,106,64.0,0
7.01,97,59.0,0
6.86,106,59.0,0
7.31,104,43.0,0
5.33,103,75.0,0
5.91,114,54.0,0
5.83,110,68.0,0
7.63,91,79.0,1
4.94,104,82.0,0
5.81,115,35.0,0
7.06,108,39.0,0
7.08,99,61.0,0
7.43,88,69.0,0
5.25,113,65.0,0
7.32,101,69.0,1
7.27,91,70.0,1
8.11,95,60.0,0
8.35,98,71.0,1
5.83,106,60.0,0
8.21,94,52.0,0
5.61,108,55.0,0
8.08,94,49.0,0
7.35,93,45.0,0
5.61,108,74.0,0
6.89,105,76.0,1
7.45,108,65.0,1
6.23,113,65.0,0
7.4,111,46.0,0
5.67,112,67.0,0
6.75,111,27.0,0
8.25,92,67.0,1
5.89,108,72.0,0
7.3,101,50.0,0
6.61,105,53.0,0
7.41,110,57.0,0
4.8,109,25.0,0
5.54,118,60.0,0
7.93,95,50.0,0
5.54,114,78.0,0
7.71,109,50.0,0
6.26,97,82.0,0
7.55,100,57.0,0
6.27,110,38.0,0
6.73,101,70.0,1
6.65,106,45.0,0
8.0,92,59.0,0
5.8,116,50.0,0
6.69,93,72.0,0
7.08,95,43.0,0
6.99,116,63.0,1
8.21,89,51.0,0
6.58,113,57.0,0
6.54,97,43.0,0
7.54,98,67.0,1
9.07,84,70.0,0
8.8,83,62.0,0
7.54,96,71.0,1
6.34,105,65.0,0
5.05,109,58.0,0
6.01,106,72.0,0
7.0,100,62.0,1
7.01,99,64.0,0
6.13,107,78.0,0
6.84,96,32.0,0
8.11,93,72.0,1
7.54,90,53.0,0
5.86,99,87.0,0
5.67,103,68.0,0
5.7,118,65.0,0
8.12,103,26.0,0
6.27,107,59.0,0
5.56,117,68.0,0
6.68,110,50.0,0
5.71,117,76.0,0
5.19,108,69.0,0
4.9,110,44.0,0
5.84,105,67.0,0
5.65,116,70.0,0
6.11,111,44.0,0
6.0,101,55.0,0
5.52,116,58.0,0
6.02,107,69.0,0
7.52,106,73.0,1
8.17,94,54.0,0
5.13,114,83.0,0
8.12,94,72.0,1
6.34,99,52.0,0
5.76,103,67.0,0
8.71,88,58.0,0
6.62,96,37.0,0
7.22,94,58.0,0
7.81,95,59.0,0
6.4,105,55.0,0
4.6,116,71.0,0
6.66,105,67.0,1
5.77,105,47.0,0
5.67,109,54.0,0
8.04,89,48.0,0
6.17,115,52.0,0
7.66,92,71.0,1
6.69,104,74.0,1
8.49,89,70.0,0
6.88,92,59.0,0
7.52,110,51.0,0
8.54,88,67.0,0
6.97,101,68.0,1
6.04,104,30.0,0
7.21,96,59.0,0
5.34,104,98.0,0
5.6,109,57.0,0
8.37,107,58.0,0
7.04,96,47.0,0
7.97,96,76.0,1
6.76,108,72.0,1
6.32,107,68.0,0
6.64,98,49.0,0
5.67,111,69.0,0
8.37,91,63.0,0
7.83,97,43.0,0
4.97,116,72.0,0
8.47,87,72.0,0
6.55,107,59.0,0
6.7,102,58.0,0
5.97,116,23.0,0
7.65,93,35.0,0
6.44,114,42.0,0
7.24,95,66.0,1
7.12,88,48.0,0
5.64,110,51.0,0
6.89,88,98.0,0
6.44,102,54.0,0
5.8,107,92.0,0
7.0,104,48.0,0
6.47,108,41.0,0
7.21,104,76.0,1
6.54,109,51.0,0
7.59,87,68.0,0
7.23,89,58.0,0
8.25,96,57.0,0
7.38,99,64.0,0
5.62,106,78.0,0
5.77,112,62.0,0
7.42,92,63.0,0
6.49,109,54.0,0
7.07,94,49.0,0
8.07,92,62.0,0
9.3,85,68.0,0
9.05,94,67.0,0
6.02,107,74.0,0
5.85,114,68.0,0
6.97,105,53.0,0
7.86,101,70.0,1
5.12,105,68.0,0
5.86,105,43.0,0
7.12,107,62.0,1
8.29,89,70.0,0
6.92,99,85.0,0
7.49,95,64.0,0
8.56,102,63.0,1
7.24,113,72.0,1
5.76,120,64.0,1
6.49,108,45.0,0
8.52,99,58.0,0
6.14,110,57.0,0
6.75,92,39.0,0
5.94,101,38.0,0
6.53,90,99.0,0
5.49,110,58.0,0
7.62,97,43.0,0
6.88,94,71.0,0
8.84,91,81.0,1
7.34,97,51.0,0
6.34,112,54.0,0
7.65,98,50.0,0
5.54,107,76.0,0
5.76,114,52.0,0
5.13,114,54.0,0
7.48,100,54.0,0
7.51,90,69.0,1
6.79,102,55.0,0
6.8,103,52.0,0
7.12,96,54.0,0
6.34,105,65.0,0
7.26,110,56.0,0
6.91,112,45.0,0
7.42,98,49.0,0
7.88,97,31.0,0
5.51,114,51.0,0
7.03,97,50.0,0
5.94,108,28.0,0
8.13,91,35.0,0
5.49,110,47.0,0
6.29,102,59.0,0
6.89,104,81.0,1
5.19,116,86.0,0
5.91,108,45.0,0
7.14,99,70.0,1
6.85,102,67.0,1
7.6,103,64.0,1
8.26,92,69.0,1
8.35,96,89.0,1
7.06,93,44.0,0
8.7,96,56.0,0
6.98,105,54.0,0
5.28,111,52.0,0
7.15,106,78.0,1
5.83,104,51.0,0
5.84,112,32.0,0
7.83,101,41.0,0
6.8,109,41.0,0
6.86,110,63.0,1
7.18,106,61.0,1
6.44,107,54.0,0
6.09,108,52.0,0
7.68,101,70.0,1
7.0,90,28.0,0
4.79,118,70.0,0
8.88,130,90.0,1
9.0,110,82.0,1
7.5,125,96.0,1
8.4,132,75.0,1
7.9,123,79.0,1
4.0,140,70.0,0
4.5,137,74.0,0
4.7,135,73.0,0
5.0,80,99.0,0
4.0,78,97.0,0
5.5,79,96.0,0
9.89,86,62.0,0
9.87,84,64.0,0
4.5,137,65.0,0
4.7,136,66.0,0
5.2,70,99.0,0
6.0,78,97.0,0
5.5,70,95.0,0
9.87,84,40.0,0
8.7,83,52.0,0
4.0,130,50.0,0
4.5,127,48.0,0
3.0,70,99.0,0
8.27,139,73.5,1
7.5,139,73.0,1
6.8,139,74.0,1
8.38,133,74.0,1
9.25,133,73.5,1
9.61,133,74.0,1
9.72,134,61.5,1
5.17,79,47.0,0
7.03,80,47.0,0
7.77,84,47.0,0
